Size (sq ft),Location,Security,Garage,Floor_Number,Number_of_Rooms,Built_Year,Price (in $1000s)
3648,1,0,0,10,4,1983,349.25
3284,0,1,1,14,2,1994,309.84
1009,0,1,0,7,4,1984,117.52
2886,1,0,0,12,8,2016,341.08
1528,1,1,0,10,6,2000,224.06
3680,0,1,1,12,6,1988,370.31
2094,0,0,0,1,2,2023,198.91
3726,1,0,1,13,7,2019,414.36
1848,1,1,1,14,4,2009,257.49
2462,1,1,1,7,9,2003,375.43
3607,0,1,1,1,5,1989,364.74
1449,1,1,1,13,5,2014,233.66
2544,0,1,0,15,3,2011,259.8
1410,1,1,0,1,10,1989,282.64
1847,1,0,1,10,5,2012,245.77
1764,1,0,0,5,8,1997,253.98
912,1,0,0,12,4,2002,166.35
3945,0,1,0,4,7,2003,392.05
748,0,1,1,11,8,2016,153.31
2319,1,0,1,15,9,1998,321.72
1015,0,1,1,9,4,1994,130.57
2162,1,0,1,9,5,1989,251.72
1646,1,0,0,6,2,2009,206.57
2669,0,1,0,10,4,1993,260.48
1757,1,0,0,1,4,1981,198.14
3031,0,1,0,10,8,2004,329.62
2243,1,0,1,11,3,2005,283.74
1788,0,0,0,10,10,1994,226.84
3676,1,0,1,2,3,1989,368.68
3825,1,0,0,6,7,1983,392.34
3923,0,1,1,15,9,2013,449
2262,0,0,1,10,10,1981,279.95
3776,1,1,1,5,9,2012,456.03
844,1,0,0,3,8,2005,201.64
697,1,1,1,8,5,2021,200
730,1,0,1,11,6,2010,185.91
3726,0,0,1,3,8,2021,396.52
1047,1,0,1,15,6,1993,178.16
3216,0,0,0,7,5,2006,314.58
3744,0,0,0,14,2,1984,304.07
2688,1,1,1,12,7,2019,385.82
2720,1,1,1,3,10,2023,408.22
2851,0,1,1,1,10,2003,365.02
2124,1,1,0,13,4,1989,276.3
2488,1,0,1,12,10,1994,336.63
1352,0,0,0,11,2,1998,127.92
793,0,0,1,15,8,2015,160.69
1790,0,0,1,15,6,1999,208.54
2075,1,0,0,12,6,1987,245.1
1985,1,1,0,13,3,1987,231.26
757,1,0,1,4,7,2017,190.18
3788,1,0,1,15,9,1997,431.9
1931,1,1,0,2,2,1995,236.27
852,1,0,1,8,6,2001,176.84
2047,0,0,1,15,3,1997,206.37
2626,1,0,1,2,7,2010,323.6
545,1,1,1,7,8,1983,187.95
2638,1,0,1,8,7,2013,329.35
3003,1,0,1,9,10,2017,408.35
3038,0,0,0,7,3,1982,269.29
2294,0,1,1,14,6,1983,258.76
1720,0,0,1,4,2,1986,164.79
2932,1,0,0,8,8,2010,340.46
2897,0,0,0,15,2,1984,237.84
745,1,0,1,7,6,1998,182.85
3427,1,0,0,3,7,1991,387.95
1554,1,0,1,1,5,2002,233.4
3175,0,0,1,3,9,2016,363.39
909,0,0,1,12,7,2011,160.23
1207,0,0,0,9,6,1987,147.69
883,1,1,0,4,9,1992,214.07
1202,0,0,1,8,4,2012,151.83
3164,1,1,0,13,10,2011,429.47
1013,1,1,0,3,4,2013,198.67
2851,1,0,1,11,9,1988,368.01
1930,1,0,0,7,5,2020,256.7
3833,0,1,0,4,10,1982,418.73
1548,1,1,1,6,8,2023,302.18
3256,0,0,1,4,2,2000,264.1
1692,0,0,0,8,2,1997,158.87
986,1,1,1,14,9,2022,261.89
2931,0,1,0,7,10,2017,343.66
645,1,0,0,12,3,2014,137.92
3104,1,0,0,3,8,2016,366.2
3423,0,0,1,5,6,2000,346.49
1279,0,1,0,14,9,1985,178.42
1795,1,1,1,14,2,1984,212.44
2836,0,1,1,10,7,2001,322.37
3382,1,0,1,9,10,2023,439.09
3669,1,1,1,8,5,2018,429.61
597,1,0,0,15,8,1999,165.14
2467,0,1,0,5,6,1982,271.68
1359,1,1,0,12,6,2014,243.71
3190,1,0,0,8,2,2009,300.5
3895,1,0,0,15,8,1994,427.17
2556,1,0,1,8,5,2018,307.78
1493,1,0,1,5,4,1982,214.6
1028,1,0,0,8,2,1991,116.8
3372,1,1,0,4,9,2019,409.63
1025,1,1,1,11,7,1993,240.19
3918,0,1,0,5,9,1982,419.25
1980,1,1,0,1,8,2002,311.39
3955,0,1,1,4,5,1985,371.48
1843,1,0,0,7,2,1999,220.62
3915,0,1,1,12,2,2012,353.32
1571,0,1,1,7,8,2001,242.02
3769,0,1,1,1,5,1996,376.67
1112,1,1,1,10,10,1997,249.96
1751,0,0,1,12,2,1987,138.02
1053,1,1,0,14,4,1983,172.5
3428,0,0,1,6,7,1991,329.64
2789,1,1,1,11,5,1989,352.03
3903,1,0,1,10,4,1990,390.73
3520,1,1,1,15,8,2010,446.97
3116,1,0,1,13,5,1992,338.14
2745,1,0,0,5,4,1986,303.29
3346,0,1,1,15,2,2013,330.15
3467,1,0,1,6,6,2017,403.53
1273,0,1,0,15,2,1998,120.16
2630,0,1,1,7,6,1989,273.87
2807,1,1,1,15,10,2007,403.11
1589,0,0,1,6,9,1986,201.3
1032,1,1,0,7,7,1993,190.79
3945,0,0,0,9,10,2012,421.99
2194,0,0,0,13,3,2015,211.6
2801,1,1,1,14,8,1983,372.75
3698,0,0,0,5,5,2014,359.62
3008,0,0,0,1,5,2007,279.87
2871,1,0,0,6,10,2009,377.32
2940,0,1,0,9,4,1990,284.86
2014,1,0,1,1,8,1984,266.69
1112,1,1,0,3,5,2004,196.6
3811,1,1,0,12,8,1989,445.56
2090,0,0,1,8,3,2019,199.9
3070,1,1,0,2,4,2006,345.71
1631,1,0,0,8,5,2016,218.14
3443,0,0,0,9,5,2018,321.99
2419,0,0,0,7,6,2008,240.98
1958,0,0,1,11,3,2014,191.6
666,0,1,1,8,6,1991,148.93
3169,1,0,1,1,6,2024,395.39
3130,0,0,0,9,2,2011,272.07
3621,1,1,1,10,3,1980,366.01
1911,0,1,0,6,6,2022,246.1
3581,1,1,1,9,2,1992,393.18
696,0,0,1,9,9,2012,165.37
3991,1,0,1,2,6,1985,414.5
1115,1,1,0,13,10,2009,241.55
1875,1,1,0,8,4,2013,234.54
1034,0,0,1,8,8,1985,144.8
3273,0,1,1,4,9,1986,357.5
1944,1,1,0,10,6,2017,262.6
3581,1,0,1,7,6,2007,404.35
2125,0,0,1,8,5,2020,245.88
1076,1,0,0,5,8,2019,222.27
2616,0,0,0,1,4,2009,236.54
1016,0,1,1,13,3,1980,136.2
979,0,0,0,5,3,1983,90.25
1775,0,0,1,5,7,2018,213.68
3878,1,0,0,1,4,2023,382.22
1995,0,0,0,13,9,2010,254.88
1626,0,0,1,12,9,2021,224.53
3708,1,1,0,12,2,2011,378.38
2796,0,0,1,7,2,2001,236.21
3798,0,1,0,12,5,2003,347.67
716,0,0,1,12,9,2011,159.14
2076,0,1,1,12,4,2008,249.2
919,0,0,0,4,2,2001,76.63
3845,1,1,0,14,10,2014,487.79
1763,0,0,1,3,8,2004,231.22
702,1,0,0,3,5,2008,135.82
3491,1,0,0,10,6,1994,377.63
715,1,1,0,6,8,2021,206.81
736,0,1,1,12,9,2023,185.04
1959,1,1,0,9,2,2010,224.5
3968,0,1,1,10,2,2015,381.07
1511,1,1,0,1,10,1984,267.67
2997,1,0,1,11,7,2007,358.04
2896,1,0,1,5,10,1996,371.32
619,0,1,1,12,6,2021,151.98
2941,0,1,1,14,2,1996,294.34
3415,1,1,1,8,3,2011,382.53
1653,0,0,1,7,4,1981,167.78
3706,0,1,0,14,9,2018,402.53
1561,1,1,1,8,9,2001,304.69
2269,0,0,0,6,8,1985,238.87
2359,1,0,1,2,3,2003,254.76
3876,1,1,0,3,7,1987,436.99
1310,0,1,1,6,6,1981,164.14
2759,0,0,0,5,7,1988,285.13
2880,0,0,0,3,2,2009,230.04
3852,0,1,0,9,10,2022,435.84
2675,1,0,0,11,7,2014,311.37
732,1,1,0,9,6,1987,184.86
2117,1,0,0,14,8,2016,282.64
1973,1,1,1,4,3,2009,275.82
1857,1,0,1,3,3,2017,238.8
1988,1,0,0,11,4,2012,226.8
3710,1,1,0,15,2,2018,381.84
3134,1,0,0,8,3,1980,321.63
1552,1,0,0,1,6,2014,211.31
3335,1,0,0,11,9,2014,405.53
1621,1,0,1,9,6,2014,266.59
790,0,1,0,9,9,1996,152.47
3123,0,1,1,5,8,1983,338.8
558,0,0,1,6,3,2003,82.28
1457,1,1,0,7,10,1986,282.59
2529,0,1,0,12,3,2017,245.8
818,1,0,1,1,3,2023,146.66
570,1,0,1,11,9,2000,181.99
3001,1,0,0,2,6,1985,312.26
2613,0,0,0,9,9,1985,268.92
3054,1,0,0,3,2,2000,310.63
2209,1,0,1,6,10,2016,348.2
3980,1,1,0,10,8,1997,469.22
1157,0,0,1,12,6,2015,156.02
3713,0,0,1,1,8,1990,380.17
1310,1,0,0,13,4,2013,174.85
2708,0,1,0,14,3,1985,247.71
1047,1,0,0,7,10,2009,227.97
1604,0,0,0,3,6,1992,172.83
3530,1,0,1,10,4,2023,374.03
1659,1,1,1,6,2,1997,232.56
3583,1,0,0,6,7,1997,391.21
2744,0,1,0,4,10,2017,345.56
1539,1,0,0,13,3,2024,213.93
3779,1,0,1,11,10,1984,431.74
3122,0,1,1,9,6,1995,327.34
836,1,0,0,12,7,2012,179.35
1383,1,1,0,3,9,2015,273.02
3278,1,1,1,4,8,1997,431.19
2630,0,0,0,9,7,1989,269.36
3352,1,0,0,5,5,1998,357.54
501,1,1,1,11,6,2003,180.43
1567,0,0,1,2,8,1980,214.22
1772,1,1,0,8,10,2021,313.61
2087,0,1,0,10,3,2011,222.52
1741,0,0,0,14,7,2008,206.77
3340,1,0,0,5,7,2021,404.94
1097,1,1,1,8,9,2018,247.94
3168,1,0,1,5,7,2000,363.77
2397,0,1,0,3,3,2008,235.5
3235,0,0,0,1,7,2004,319.97
1728,1,0,0,10,8,2001,255.65
1013,0,1,1,6,5,1989,144.67
1326,0,0,0,10,5,2023,148.26
3061,0,0,1,3,9,2016,337.81
2935,0,1,1,14,5,2020,333.73
1421,0,0,1,6,6,1989,181.94
2498,0,0,0,8,7,2022,284.51
3221,0,0,0,9,7,1991,298.71
1791,0,1,1,4,7,2004,230.59
1311,1,0,0,14,10,2014,268.85
2296,1,1,1,11,6,1985,300.9
3309,1,1,0,10,9,2013,407.84
1698,0,0,1,3,2,1984,134.58
1603,1,0,0,12,10,1987,266.66
1072,0,1,1,1,9,2013,193.81
3939,1,1,0,14,6,2001,444.69
1863,1,1,0,12,8,1987,282.71
3056,1,0,1,7,3,2008,318.62
1462,0,0,1,8,10,2024,243.62
2024,0,0,0,15,5,1988,175.69
3235,0,1,0,9,10,1981,361.12
778,0,0,0,3,5,2009,119.91
1449,1,0,1,1,7,2001,230.43
2473,1,1,0,15,10,1996,342.32
3479,1,0,0,7,10,2007,412.26
2912,1,1,1,13,7,1999,357.67
1619,1,0,1,8,8,1984,261.72
2234,0,1,0,14,5,1994,236.27
3214,1,0,1,9,7,2001,395.5
2434,0,0,0,5,2,1985,210.19
1850,0,1,1,14,4,1980,220.23
1907,1,0,0,9,9,2002,272.25
1547,0,1,1,12,8,1980,206.71
3388,1,1,0,7,7,2014,392.32
2497,1,0,1,3,4,2014,316.42
1013,0,1,1,12,4,2014,160.21
2702,0,0,0,12,4,1987,223.48
689,1,1,1,8,10,1998,240.66
638,1,0,0,10,2,2000,110.83
3408,0,1,1,13,3,2023,323.94
2594,0,1,1,13,3,1989,268.34
677,0,1,0,6,6,1994,101.25
2575,1,0,0,8,7,1987,298.22
1269,0,1,0,3,6,2024,179.86
1694,0,0,1,12,8,2001,234.96
3291,0,1,1,14,2,1992,309.7
2053,1,1,0,13,8,2015,299.01
2105,1,0,0,10,4,1993,234.12
801,0,0,1,7,2,2003,74.05
2644,0,0,0,5,4,2005,221.64
3799,1,1,0,3,7,2022,424.31
3105,0,0,1,1,5,2024,313.74
1896,0,1,1,7,2,1995,177.97
1501,0,0,1,12,2,1989,133.78
1028,1,0,1,15,3,2008,186.29
3390,1,1,0,5,3,1984,364.14
679,0,0,1,2,8,2024,137.22
2157,1,1,1,3,8,1990,330.17
3482,1,1,0,11,10,1985,442.46
3416,1,1,0,3,7,2014,419.08
942,1,0,0,3,10,2020,209.88
942,0,0,0,13,9,2010,166.77
508,1,0,1,12,9,2003,177.18
3553,0,1,0,9,7,1994,350.47
3592,1,1,0,13,6,2002,396.81
2621,1,1,0,8,10,2015,366.45
2917,1,1,1,13,3,1992,350.83
1588,0,0,1,9,8,2008,226.73
1470,1,1,0,12,10,1998,271.39
2630,1,0,1,7,8,2010,346.96
2111,1,1,1,9,7,1993,297.32
2409,1,0,0,12,4,2017,293.83
2479,0,1,1,5,2,1999,248.78
1305,0,0,1,2,5,1991,147.86
2097,0,0,1,7,9,2012,255.58
1684,0,0,0,2,9,2008,204.41
2899,1,1,0,10,6,2005,347.25
1256,1,0,0,8,3,1983,178.05
2475,1,0,1,11,5,2015,304.63
2990,0,1,0,6,6,1989,309.16
2637,1,0,0,7,8,2008,332.17
1953,1,0,0,10,8,2024,271.04
3534,0,1,0,9,4,1983,322.32
848,0,0,0,1,5,1989,97.14
3248,0,0,0,4,6,2005,293.67
2838,0,0,0,14,6,2009,294.99
3521,1,1,1,4,3,2008,403.64
1021,1,0,0,12,9,2006,222.12
1633,1,1,1,7,3,2020,247.1
2993,1,0,1,10,9,1983,370.11
2319,0,0,1,7,3,2007,240.03
3296,0,0,1,4,6,1992,333.8
1932,1,1,0,2,6,1994,281.04
2381,1,0,1,15,10,1983,347.69
2912,0,1,0,2,4,1998,288.27
3448,0,1,0,1,2,2008,313.5
841,1,1,1,1,6,2007,222.92
2973,0,1,1,8,9,2015,357.73
931,0,0,0,4,7,2004,138.72
1429,1,1,1,15,9,1986,251.48
2709,1,1,1,12,4,2009,328.07
1250,1,0,0,3,8,2020,217.19
3219,1,0,0,4,8,1994,370.31
3849,0,0,1,11,5,1984,341.34
756,1,1,0,10,7,2010,186.41
547,0,0,0,14,4,2024,76.52
546,0,0,1,3,4,2004,103.33
1111,0,0,0,4,9,2020,185.39
923,1,0,0,3,4,2018,168.94
1528,1,0,0,14,8,1989,241.99
3135,0,0,1,11,6,2014,331.63
1087,0,0,1,9,9,2001,192.13
1964,0,1,1,6,3,2003,218.82
3195,1,1,1,1,8,2005,414.22
752,1,1,1,11,5,1992,187.77
3723,1,1,1,9,5,1997,424.85
1038,1,1,1,10,6,2018,224.42
1031,1,0,1,10,10,2022,257.51
2124,1,0,1,11,6,2006,301.6
3822,1,1,1,6,7,1986,440.76
2852,1,0,0,6,3,2024,322.8
693,1,1,0,1,2,2008,130.79
859,0,1,1,6,3,1982,118.46
2583,0,1,1,10,6,2018,309.74
2885,0,1,1,7,2,2020,293.02
1242,1,1,0,7,4,2015,213.62
2134,1,1,0,14,6,2003,296.54
1233,0,0,1,11,2,1988,127.33
2334,0,0,0,9,5,1999,243.3
2141,1,1,0,5,4,1998,277.84
1619,0,0,1,8,2,1981,156.39
2790,0,1,0,5,3,2000,242.55
1353,0,0,0,3,8,2013,187.82
2093,1,0,1,9,4,2012,247.66
1624,0,1,1,14,7,2019,220.18
1906,1,1,1,10,10,2017,325.85
3188,1,1,1,12,9,2021,440.91
3247,0,1,0,8,9,2023,373.42
2521,0,0,0,12,2,2021,207.66
1447,0,0,1,13,2,2000,127.87
3176,0,1,0,4,8,1986,335.53
3464,1,1,0,3,8,2003,410.72
2865,1,0,0,11,3,1981,303.16
661,1,0,0,1,8,2011,170.44
2834,1,0,0,5,5,2010,335.57
1221,1,1,1,1,6,2015,217.94
939,1,0,1,6,6,1987,179.66
3165,1,0,0,6,7,1991,347.17
3170,1,0,1,4,2,2014,324.9
2689,0,1,1,2,8,2001,302.08
3631,1,1,1,10,5,1996,397.47
2229,0,0,0,12,5,2013,216.55
2441,1,0,1,6,2,1997,255.88
613,0,1,1,2,10,1989,147.72
1380,0,0,1,14,10,1987,200.76
2575,1,0,0,1,7,2004,309.53
1889,1,0,1,14,2,1984,200.56
945,0,0,0,4,9,2006,149.95
2009,0,0,1,1,7,1998,219.49
1885,1,0,0,13,3,1998,208.58
982,1,0,0,6,2,1999,134.06
2036,0,0,0,13,7,2019,215.16
787,1,0,1,5,9,2023,199.17
650,1,0,0,10,8,2015,193.57
2813,0,0,1,1,5,1980,281.99
1361,0,1,1,4,10,2006,252.47
3322,1,1,0,10,4,2004,379.53
985,1,1,0,2,4,1981,183.4
2584,0,0,0,15,9,1991,289.22
627,1,0,1,6,4,2002,130.01
2564,1,0,1,11,8,1997,345.67
1439,1,1,1,1,8,1987,271.79
2054,1,0,0,12,7,2020,268.35
2742,0,0,1,15,10,2021,335.58
1747,0,1,0,10,6,1980,196.55
2375,1,0,1,15,5,2022,317.23
1597,0,0,0,12,4,1990,159.12
2260,0,0,0,10,6,1995,237.66
3118,0,0,0,5,6,2023,296.32
725,1,1,1,9,9,1987,204.31
1085,1,1,0,8,4,1993,194.14
1513,0,0,1,10,4,2020,162.1
1805,1,0,1,13,4,2016,252.6
722,1,0,0,13,9,1988,181.48
2780,0,0,1,13,10,1984,323.04
3167,0,0,1,5,2,1980,257.56
2425,1,1,0,7,5,1993,281.71
808,1,0,1,9,10,1996,200.07
604,0,0,0,4,7,1998,114.25
1164,0,0,0,1,7,1997,152.29
2891,0,0,1,10,7,1991,285.24
1800,1,1,1,13,5,1981,263.96
2141,1,1,1,14,9,2017,348.91
3287,1,1,1,5,8,2021,430.28
1711,0,1,0,1,10,1992,248.52
3529,1,1,0,15,5,1983,376.53
3352,1,1,0,11,4,2007,357.26
2841,0,0,0,15,6,2007,281.83
1326,1,1,0,10,9,1987,229.56
1580,0,0,1,1,7,1986,196.85
3462,0,0,1,5,2,2011,320.61
1227,1,0,1,8,4,2001,176.85
613,1,1,1,9,3,2001,133.92
3487,0,0,0,3,4,1989,298.78
3356,1,0,1,9,8,1983,372.88
2015,0,1,0,12,8,2005,239.43
2546,1,1,1,1,6,2002,353.52
2871,0,0,0,10,2,2015,235.59
866,1,0,0,13,8,1995,203.55
1826,1,1,0,1,6,2012,284.51
1004,1,1,0,2,6,2015,210.15
1075,1,1,1,13,8,1986,222.93
3575,1,1,0,13,8,1996,439.76
3400,0,0,1,5,5,1983,322.06
1166,1,1,0,1,9,2014,239.74
2847,0,0,0,7,3,2007,234.3
2686,0,1,1,14,2,2000,241
607,1,1,1,1,2,1986,132.44
2878,0,0,0,10,4,2012,263.65
1329,1,0,0,1,5,2014,200.57
2688,0,0,1,6,5,2023,281.72
3243,1,1,1,5,9,1984,406.53
1157,0,1,1,9,8,1991,175.27
1283,1,1,1,10,6,1998,237.44
1478,1,0,0,2,8,1984,224.54
730,0,1,1,7,4,1998,126.89
3670,0,0,1,6,9,2023,394.19
3584,0,1,1,9,8,2023,388.53
1194,0,0,0,12,8,1993,164.44
2007,0,1,0,13,5,2007,222.34
711,0,1,1,2,7,1997,149.05
3381,0,0,0,2,9,1987,355.76
2674,1,0,1,13,3,2008,281.07
1916,1,1,1,4,4,2007,273.07
2557,0,1,1,3,3,2008,269.97
537,1,0,0,14,8,1980,139.52
558,0,1,0,10,7,1989,132.89
3683,1,0,1,7,10,1987,423.67
2441,1,0,1,7,9,1993,322.39
2941,0,0,0,14,4,1987,254.38
3644,1,1,0,13,7,2012,425.8
2549,0,1,1,11,3,2006,257.76
528,0,1,1,11,3,2014,118.89
820,0,1,1,8,4,2020,148.14
1472,1,0,0,8,6,2013,223.28
1700,0,0,0,13,3,2019,147.9
3643,1,1,0,13,10,1990,439.56
2914,0,1,0,3,3,1980,249.9
653,1,0,1,15,2,1983,100.66
3011,0,1,1,11,5,2020,308.19
600,0,0,0,1,2,2004,65.6
2897,1,0,0,2,8,1998,334.38
1055,1,1,1,3,8,2021,228.67
748,1,1,1,12,5,2008,198.88
913,1,0,0,3,8,1988,197.89
1725,0,1,0,8,10,2004,248.62
3008,0,1,0,8,8,1988,334.57
2641,0,0,1,3,9,1981,284.84
3307,0,0,1,15,6,2023,325.65
1011,1,0,0,11,10,1990,193.85
3513,0,0,0,5,5,1991,302.08
3598,1,0,0,15,6,1984,373.33
2056,0,1,1,7,2,1991,191.6
3421,0,1,1,5,4,2002,346.11
3843,1,0,0,14,6,2021,408.23
2939,1,1,0,2,6,2008,355.6
3713,0,0,1,10,7,1988,360.26
1640,1,0,0,12,5,2018,216.7
1562,0,1,1,4,5,2020,198.8
1994,1,1,0,7,6,1993,266.98
3760,1,0,0,13,7,2011,433.19
1655,0,0,1,1,5,2007,205.79
2607,0,0,0,3,10,2022,308.8
1860,1,0,0,10,6,2009,232.51
2949,1,0,0,5,8,2020,364.45
1688,1,0,0,5,10,2001,292.77
1171,1,0,1,7,2,2006,164.83
1309,1,1,0,2,4,1995,180.58
3148,1,1,0,15,6,1980,356.23
1163,1,1,1,15,5,2007,230.39
3916,1,1,0,12,3,1980,406.51
3786,1,0,1,6,8,1994,421.29
3746,1,0,1,12,3,1997,374.82
2280,0,1,1,10,10,2020,311.66
2755,0,1,0,9,8,2006,314.3
2481,1,1,1,10,4,1982,284.3
1488,1,0,1,8,10,1980,251.29
1708,0,0,0,14,3,1983,157.59
2582,0,1,1,6,6,1993,302.85
1130,1,0,1,8,6,1995,184.36
3541,0,1,1,6,6,2005,387.02
2750,1,1,1,2,8,1994,383.36
2058,0,0,0,1,6,2014,230.93
3609,0,0,1,1,2,2016,316.3
3368,1,1,1,12,3,1989,367.74
865,1,1,1,1,5,2015,216.97
2727,0,0,1,4,2,1985,223.37
3849,1,1,0,4,6,1989,412.55
3466,1,1,0,5,3,2000,368.64
1596,0,1,1,15,8,2019,257.73
2002,1,1,1,1,10,2008,319.5
1868,1,1,1,6,6,1991,268.72
3686,0,0,0,11,10,2023,390.37
3625,0,0,1,4,4,2014,347.31
1928,0,1,1,12,6,2013,238.07
3503,1,1,1,14,7,2017,425.25
1510,0,0,0,7,8,1986,182.91
2903,0,1,1,6,4,2012,305.97
1290,0,1,1,14,5,1983,169.09
2939,0,1,0,11,9,1983,316.03
621,0,0,0,2,5,2003,87.17
3681,1,1,1,6,8,2015,451.82
704,1,0,0,7,6,1980,133.81
1346,0,1,1,3,3,2020,175.11
3159,1,1,0,15,5,2010,379.14
3628,0,0,0,8,9,1999,381.26
2043,0,1,1,3,6,2015,255.15
504,0,1,1,15,5,2017,119.32
2230,1,1,0,4,5,2005,291.54
2871,0,0,0,7,8,1993,299.95
2088,1,0,0,4,8,1998,282.6
3907,1,0,1,13,2,1983,385.54
3397,1,1,1,9,4,1987,391.13
992,1,1,0,10,10,1999,252.8
1456,0,1,0,10,8,2016,223.45
1756,1,0,0,15,2,1989,190.64
2669,0,0,0,13,5,2004,271.16
867,1,1,1,2,5,2000,176.88
1521,1,1,0,9,8,1984,233.31
1050,0,0,0,5,9,1999,166.43
3607,0,0,1,6,4,1983,320.58
779,1,1,0,10,4,2020,178.01
2044,1,1,0,13,8,1982,273.35
1504,1,0,0,3,5,1997,206.21
2796,0,1,0,2,5,2012,282.75
2578,0,1,1,13,8,1985,289.86
1108,0,1,0,6,4,1985,137.84
3808,0,1,1,1,10,2005,442.91
1564,1,0,1,9,8,1998,240.89
3279,0,0,0,14,2,2016,282.45
604,1,1,0,6,3,1995,150.28
656,1,0,0,14,6,1982,138.32
682,0,1,0,14,8,2011,129.95
1545,0,1,0,4,9,1998,224.64
3010,1,1,0,14,10,1980,392.2
1989,1,0,1,15,5,2012,265.6
3985,0,0,1,5,7,1984,366.34
1491,0,0,0,13,7,2018,204.31
1390,1,1,0,1,8,1980,236.13
1173,1,0,1,9,5,2018,219.7
508,0,1,1,2,5,2015,115.24
746,0,1,1,2,2,2019,121.1
1486,0,0,0,13,4,1980,145.62
1306,1,1,0,2,7,2018,237.36
1595,1,1,0,14,8,1994,244.67
1474,0,0,0,8,6,1989,152.61
1408,1,0,1,1,5,1998,222.72
1047,1,0,1,14,3,2020,182.88
3727,0,1,0,13,2,2015,348.29
2448,0,0,0,10,8,1982,244.27
3300,1,1,0,14,5,1990,350.48
1926,1,0,0,4,8,2000,272.94
1778,1,1,1,10,3,1985,257.14
2717,1,1,1,2,2,2023,330.21
1505,0,0,0,15,6,2005,171.54
1677,0,1,1,5,2,2012,196.12
1045,1,1,1,14,8,1983,230.48
1962,1,0,0,1,5,1980,219.48
2125,0,1,1,3,4,2019,228.5
2804,0,0,1,1,9,2001,308.02
3396,1,1,1,3,2,2012,373.94
3871,1,1,1,11,10,2007,488.66
2160,1,0,1,4,10,1994,338.11
3395,1,1,1,12,4,1982,373.6
3263,0,1,0,2,6,1993,305.66
1609,0,1,0,8,5,2013,198.36
3359,1,0,1,3,4,1986,373.11
1034,1,1,0,10,6,1995,208.77
1959,1,1,1,15,5,1988,270.63
3047,0,1,0,3,5,2011,297.82
2439,1,1,0,15,6,1993,327.1
2277,0,1,0,3,10,1984,293.54
520,0,0,0,15,2,2024,43.13
3467,1,0,1,3,9,2011,411.91
2490,0,1,0,15,5,1988,241.77
2028,0,1,0,11,4,2006,196.04
3997,1,0,1,15,3,2021,424.99
616,0,1,0,8,9,2009,155.99
3203,1,1,0,6,5,1989,363.51
910,1,1,1,10,3,2021,175.04
1394,0,1,1,14,7,2021,201.95
2550,0,1,1,7,5,2013,287.42
1049,1,0,1,5,8,1989,208.67
3532,1,1,1,9,6,2018,408.28
2122,0,1,1,12,10,2011,310.27
3645,0,1,0,12,2,1994,320.75
2684,1,0,1,5,2,2010,273.33
2504,1,1,1,9,9,2018,360.66
1561,0,0,0,5,8,2017,203.72
669,0,0,0,15,2,1997,68.47
